rank,model,cer,wer,cer_wer_ratio,loanword_accuracy,samples_per_second,composite_score,cer_normalized,wer_normalized,loanword_normalized,speed_normalized,ratio_normalized
1,openai-gpt4o-transcribe,0.06327409800753904,0.12595419847328243,1.9906123111905147,0.9709677419354839,0.2779466203570739,0.925,1.0,1.0,0.5,0.0,0.0
2,deepgram-nova-3,0.07727517501346258,0.1784351145038168,2.309087161209671,0.9709677419354839,0.49935443710901284,0.075,0.0,0.0,0.5,1.0,1.0
